eir,pfpr,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,kappa,z,beta
0.606635,1.18504,0.0422655,0.0546733,0.0500505,0.0518341,0.049575,0.048574,0.0456451,0.0450123,0.0422294,0.0468683,0.0445413,0.0461812,0.0990555,0.0550427,0.0543156,0.0443363,0.0483766,0.046098,0.0498618,0.0495669,0.0472618,0.051432,0.0502126,0.0525112,0.0460661,0.0420143,0.0460508,0.0360597,0.0545803,0.0556533,0.0523182,0.0554796,0.0577986,0.0558112,0.0523639,0.05721,0.0460017,0.0253504,0.0568579,0.0540546,0.0517159,0.0576296,0.0594028,0.0597653,0.0508758,0.0504004,0.0484211,0.0263197,0.0528529,0.0563622,0.0491976,0.05062,0.0611536,0.0502805,0.0532431,0.041874,0.0517533,0.0211677,0.0550124,0.0469685,0.1,2.0,0.058
0.6111719999999999,1.0219,0.0450868,0.0531217,0.0525596,0.0539184,0.0524656,0.0524498,0.0503657,0.0466439,0.0463616,0.0461604,0.0485466,0.045292,0.109845,0.0556432,0.059972,0.0555678,0.0513744,0.0522894,0.0521063,0.0495262,0.0517587,0.0535095,0.0553754,0.0540117,0.050218,0.0450491,0.0482019,0.0365623,0.0567825,0.0545123,0.0596953,0.0589802,0.0590394,0.0567382,0.0592988,0.0553437,0.0543536,0.0299541,0.0591654,0.0566629,0.0583922,0.0614981,0.065542,0.0595461,0.0531816,0.0530008,0.0549061,0.0269252,0.0579864,0.0533078,0.0532431,0.0587663,0.0582434,0.0564461,0.0517857,0.0521495,0.0481849,0.0269867,0.0594876,0.0564529,0.1,2.0,0.058
0.496182,1.01445,0.0372968,0.0431738,0.0456053,0.0444193,0.043928,0.0429946,0.0453343,0.0393172,0.0389832,0.0398623,0.0431368,0.0392334,0.0980139,0.0505387,0.0498673,0.0459624,0.0450804,0.0449325,0.0453972,0.0441516,0.0446811,0.0465305,0.0484505,0.0448563,0.0431157,0.0380742,0.0388666,0.0316908,0.0487261,0.0489883,0.042032,0.0497751,0.0539197,0.0516321,0.0478178,0.0434447,0.0465482,0.0235049,0.0500692,0.051769,0.0511901,0.0507989,0.0573779,0.0545207,0.0485565,0.0427267,0.0429251,0.0211801,0.0505822,0.0521008,0.0588905,0.0584895,0.053449,0.0565303,0.0415611,0.0456433,0.0398983,0.0217251,0.0552508,0.0565506,0.1,2.0,0.058
0.532554,1.0941,0.0467893,0.0564007,0.0556412,0.0567744,0.0531319,0.0553863,0.0532249,0.0533337,0.0516955,0.0483514,0.0493615,0.0526027,0.119792,0.0620024,0.0624006,0.0576509,0.054681,0.0569196,0.0549929,0.0505664,0.0514508,0.0555879,0.0534538,0.0555259,0.049741,0.0442498,0.0543323,0.0381384,0.0589,0.0619718,0.0614493,0.0650547,0.0669852,0.0586546,0.0606071,0.0588266,0.0511896,0.0263636,0.0602388,0.062861,0.0638181,0.0625523,0.0666027,0.0560486,0.0599293,0.0564034,0.0526965,0.0255066,0.0568665,0.0519603,0.0548809,0.0559475,0.0680982,0.0585007,0.0542822,0.0498086,0.044121,0.0312401,0.0552576,0.0551696,0.1,2.0,0.058
0.43166499999999997,0.929178,0.0391093,0.0472833,0.045336,0.0488024,0.0431219,0.0441158,0.0428522,0.0378079,0.040405,0.0417952,0.0396807,0.0398121,0.0955619,0.0498877,0.0465496,0.0476395,0.0433349,0.0455336,0.0406564,0.044767,0.0411409,0.0533797,0.0448461,0.0450192,0.0424018,0.0357683,0.040146,0.0305415,0.0516852,0.0510005,0.0506981,0.0510505,0.0496016,0.0438319,0.0475688,0.0456024,0.0451413,0.0224901,0.0510301,0.0519852,0.0522654,0.0516068,0.054079,0.0495686,0.0489363,0.0481834,0.0392941,0.0233496,0.046842,0.0418146,0.0556233,0.0437996,0.0488798,0.0496326,0.0438848,0.0420992,0.0365799,0.0231234,0.0630501,0.0472907,0.1,2.0,0.058
0.690536,1.31395,0.0528827,0.0626893,0.0597169,0.0594784,0.0577416,0.0632318,0.0575133,0.0558023,0.0512463,0.0535378,0.0540843,0.0554635,0.121859,0.0675316,0.0700393,0.0621274,0.0635692,0.0629497,0.0563931,0.0619519,0.05848,0.0656322,0.0628558,0.0588516,0.0564774,0.0518037,0.0585864,0.042047,0.0712858,0.0717354,0.0711157,0.0743837,0.0714303,0.0695626,0.0662368,0.0664262,0.0598232,0.0298602,0.0717335,0.0690076,0.0661894,0.0704766,0.0706446,0.0691406,0.0612356,0.0631417,0.0600609,0.0313102,0.065882,0.0682379,0.0676662,0.0803497,0.0734974,0.0665755,0.062851,0.048663,0.0524282,0.0305225,0.0615762,0.0695662,0.1,2.0,0.058
0.552068,0.953516,0.0397268,0.0500151,0.0504968,0.0459413,0.0499316,0.0465391,0.0469613,0.0430227,0.0458773,0.0398515,0.0424414,0.0418772,0.0937401,0.0515657,0.0554612,0.0510488,0.0510412,0.0490182,0.0454569,0.0446249,0.0454185,0.0547798,0.0488454,0.049305,0.042342,0.0376998,0.0467595,0.031079,0.0487589,0.0493632,0.0512445,0.0544708,0.0552069,0.0516607,0.051276,0.0535606,0.0466311,0.0221997,0.0493406,0.0468272,0.0541564,0.0545564,0.0617069,0.0527456,0.0485201,0.0522967,0.0420505,0.0244208,0.0530882,0.0580554,0.0551965,0.0479263,0.0566425,0.0498926,0.047971,0.0496036,0.0414595,0.0267356,0.048519,0.0551513,0.1,2.0,0.058
0.49505299999999997,1.073,0.0441381,0.0522327,0.0471843,0.0465923,0.0499276,0.0489623,0.0470479,0.0451374,0.0412499,0.0469059,0.046301,0.0479797,0.102754,0.0557898,0.0558592,0.0490694,0.0542175,0.0468537,0.0479838,0.0459785,0.0461915,0.0535049,0.0482458,0.0498437,0.0476687,0.0415465,0.0447149,0.0334515,0.0582274,0.0534297,0.0580887,0.0579611,0.0571173,0.0555831,0.0536993,0.0503115,0.0491014,0.0242933,0.0473973,0.0496471,0.0499179,0.049563,0.0560636,0.0511501,0.0539011,0.0482098,0.0464514,0.0243341,0.0555466,0.0559743,0.0543116,0.0531853,0.0521075,0.0558787,0.0523859,0.0434015,0.0418588,0.0230168,0.0531253,0.0482478,0.1,2.0,0.058
0.652103,1.32255,0.0452698,0.0515351,0.0510324,0.0542978,0.053175,0.0514312,0.0528998,0.0516129,0.0481831,0.0468264,0.0458653,0.0516227,0.110006,0.0595193,0.0603259,0.0561333,0.0542375,0.0510529,0.0549614,0.0526112,0.051562,0.058354,0.0579001,0.0551175,0.0494125,0.0463362,0.0529543,0.0343337,0.0573334,0.0562756,0.0600541,0.0589449,0.0681322,0.0617006,0.0623621,0.0527461,0.051712,0.0276787,0.0590365,0.0523359,0.0582181,0.0603831,0.0590633,0.0614949,0.0564408,0.0562571,0.0515479,0.0273423,0.0562924,0.0628348,0.0522606,0.0653086,0.0651633,0.0585691,0.0600531,0.0590314,0.0530982,0.0239201,0.065786,0.0566989,0.1,2.0,0.058
1.39326,2.36849,0.102137,0.120432,0.113671,0.117238,0.116924,0.109836,0.108774,0.102067,0.102882,0.103348,0.104375,0.100911,0.248879,0.123728,0.121226,0.118749,0.112342,0.10852,0.109453,0.106331,0.108413,0.114494,0.114978,0.110982,0.107044,0.091981,0.107034,0.0775467,0.128575,0.118487,0.123401,0.125804,0.137294,0.136177,0.121844,0.119169,0.106757,0.0587116,0.126288,0.11446,0.129121,0.135494,0.134431,0.121096,0.125593,0.116003,0.101743,0.0503011,0.125653,0.129956,0.131537,0.125678,0.125362,0.113736,0.1177,0.111299,0.0983225,0.0544799,0.125244,0.113863,0.1,2.0,0.067
