Index,beta,z,kappa
77,0.049999999999999996,1.5999999999999999,1.8000000000000003
78,0.049999999999999996,1.5999999999999999,1.9000000000000001
79,0.049999999999999996,1.5999999999999999,2.0
80,0.049999999999999996,1.7999999999999998,0.1
81,0.049999999999999996,1.7999999999999998,0.2
82,0.049999999999999996,1.7999999999999998,0.30000000000000004
83,0.049999999999999996,1.7999999999999998,0.4
84,0.049999999999999996,1.7999999999999998,0.5
85,0.049999999999999996,1.7999999999999998,0.6
86,0.049999999999999996,1.7999999999999998,0.7000000000000001
87,0.049999999999999996,1.7999999999999998,0.8
88,0.049999999999999996,1.7999999999999998,0.9
89,0.049999999999999996,1.7999999999999998,1.0
90,0.049999999999999996,1.7999999999999998,1.1
91,0.049999999999999996,1.7999999999999998,1.2000000000000002
92,0.049999999999999996,1.7999999999999998,1.3000000000000003
93,0.049999999999999996,1.7999999999999998,1.4000000000000001
94,0.049999999999999996,1.7999999999999998,1.5000000000000002
95,0.049999999999999996,1.7999999999999998,1.6
96,0.049999999999999996,1.7999999999999998,1.7000000000000002
97,0.049999999999999996,1.7999999999999998,1.8000000000000003
98,0.049999999999999996,1.7999999999999998,1.9000000000000001
99,0.049999999999999996,1.7999999999999998,2.0
100,0.049999999999999996,1.9999999999999998,0.1
101,0.049999999999999996,1.9999999999999998,0.2
102,0.049999999999999996,1.9999999999999998,0.30000000000000004
103,0.049999999999999996,1.9999999999999998,0.4
104,0.049999999999999996,1.9999999999999998,0.5
105,0.049999999999999996,1.9999999999999998,0.6
106,0.049999999999999996,1.9999999999999998,0.7000000000000001
107,0.049999999999999996,1.9999999999999998,0.8
108,0.049999999999999996,1.9999999999999998,0.9
109,0.049999999999999996,1.9999999999999998,1.0
110,0.049999999999999996,1.9999999999999998,1.1
111,0.049999999999999996,1.9999999999999998,1.2000000000000002
112,0.049999999999999996,1.9999999999999998,1.3000000000000003
113,0.049999999999999996,1.9999999999999998,1.4000000000000001
114,0.049999999999999996,1.9999999999999998,1.5000000000000002
115,0.049999999999999996,1.9999999999999998,1.6
116,0.049999999999999996,1.9999999999999998,1.7000000000000002
117,0.049999999999999996,1.9999999999999998,1.8000000000000003
118,0.049999999999999996,1.9999999999999998,1.9000000000000001
119,0.049999999999999996,1.9999999999999998,2.0
120,0.049999999999999996,2.1999999999999997,0.1
121,0.049999999999999996,2.1999999999999997,0.2
122,0.049999999999999996,2.1999999999999997,0.30000000000000004
123,0.049999999999999996,2.1999999999999997,0.4
124,0.049999999999999996,2.1999999999999997,0.5
125,0.049999999999999996,2.1999999999999997,0.6
126,0.049999999999999996,2.1999999999999997,0.7000000000000001
127,0.049999999999999996,2.1999999999999997,0.8
128,0.049999999999999996,2.1999999999999997,0.9
129,0.049999999999999996,2.1999999999999997,1.0
130,0.049999999999999996,2.1999999999999997,1.1
131,0.049999999999999996,2.1999999999999997,1.2000000000000002
132,0.049999999999999996,2.1999999999999997,1.3000000000000003
133,0.049999999999999996,2.1999999999999997,1.4000000000000001
134,0.049999999999999996,2.1999999999999997,1.5000000000000002
135,0.049999999999999996,2.1999999999999997,1.6
136,0.049999999999999996,2.1999999999999997,1.7000000000000002
137,0.049999999999999996,2.1999999999999997,1.8000000000000003
138,0.049999999999999996,2.1999999999999997,1.9000000000000001
139,0.049999999999999996,2.1999999999999997,2.0
140,0.049999999999999996,2.3999999999999995,0.1
141,0.049999999999999996,2.3999999999999995,0.2
142,0.049999999999999996,2.3999999999999995,0.30000000000000004
143,0.049999999999999996,2.3999999999999995,0.4
144,0.049999999999999996,2.3999999999999995,0.5
145,0.049999999999999996,2.3999999999999995,0.6
146,0.049999999999999996,2.3999999999999995,0.7000000000000001
147,0.049999999999999996,2.3999999999999995,0.8
148,0.049999999999999996,2.3999999999999995,0.9
149,0.049999999999999996,2.3999999999999995,1.0
150,0.049999999999999996,2.3999999999999995,1.1
151,0.049999999999999996,2.3999999999999995,1.2000000000000002
