Index,pop_size,beta,z,kappa
92,100000,0.049999999999999996,4.1,0.5499999999999999
93,100000,0.049999999999999996,4.1,0.5749999999999998
94,100000,0.049999999999999996,4.1,0.5999999999999999
95,100000,0.049999999999999996,4.1,0.6249999999999999
96,100000,0.049999999999999996,4.1,0.6499999999999998
97,100000,0.049999999999999996,4.1,0.6749999999999998
98,100000,0.049999999999999996,4.1,0.6999999999999998
99,100000,0.049999999999999996,4.1,0.7249999999999999
100,100000,0.049999999999999996,4.1,0.7499999999999999
101,100000,0.049999999999999996,4.1,0.7749999999999998
102,100000,0.049999999999999996,4.1,0.7999999999999998
103,100000,0.049999999999999996,4.1,0.8249999999999998
104,100000,0.049999999999999996,4.1,0.8499999999999998
105,100000,0.049999999999999996,4.1,0.8749999999999998
106,100000,0.049999999999999996,4.1,0.8999999999999998
107,100000,0.049999999999999996,4.1,0.9249999999999998
108,100000,0.049999999999999996,4.1,0.9499999999999998
109,100000,0.049999999999999996,4.1,0.9749999999999998
110,100000,0.049999999999999996,4.1,0.9999999999999998
111,100000,0.049999999999999996,4.1499999999999995,0.1
112,100000,0.049999999999999996,4.1499999999999995,0.125
113,100000,0.049999999999999996,4.1499999999999995,0.15
114,100000,0.049999999999999996,4.1499999999999995,0.175
115,100000,0.049999999999999996,4.1499999999999995,0.19999999999999998
116,100000,0.049999999999999996,4.1499999999999995,0.22499999999999998
117,100000,0.049999999999999996,4.1499999999999995,0.24999999999999997
118,100000,0.049999999999999996,4.1499999999999995,0.27499999999999997
119,100000,0.049999999999999996,4.1499999999999995,0.29999999999999993
120,100000,0.049999999999999996,4.1499999999999995,0.32499999999999996
121,100000,0.049999999999999996,4.1499999999999995,0.35
122,100000,0.049999999999999996,4.1499999999999995,0.3749999999999999
123,100000,0.049999999999999996,4.1499999999999995,0.3999999999999999
124,100000,0.049999999999999996,4.1499999999999995,0.42499999999999993
125,100000,0.049999999999999996,4.1499999999999995,0.44999999999999996
126,100000,0.049999999999999996,4.1499999999999995,0.47499999999999987
127,100000,0.049999999999999996,4.1499999999999995,0.4999999999999999
128,100000,0.049999999999999996,4.1499999999999995,0.5249999999999999
129,100000,0.049999999999999996,4.1499999999999995,0.5499999999999999
130,100000,0.049999999999999996,4.1499999999999995,0.5749999999999998
131,100000,0.049999999999999996,4.1499999999999995,0.5999999999999999
132,100000,0.049999999999999996,4.1499999999999995,0.6249999999999999
133,100000,0.049999999999999996,4.1499999999999995,0.6499999999999998
134,100000,0.049999999999999996,4.1499999999999995,0.6749999999999998
135,100000,0.049999999999999996,4.1499999999999995,0.6999999999999998
136,100000,0.049999999999999996,4.1499999999999995,0.7249999999999999
137,100000,0.049999999999999996,4.1499999999999995,0.7499999999999999
138,100000,0.049999999999999996,4.1499999999999995,0.7749999999999998
139,100000,0.049999999999999996,4.1499999999999995,0.7999999999999998
140,100000,0.049999999999999996,4.1499999999999995,0.8249999999999998
141,100000,0.049999999999999996,4.1499999999999995,0.8499999999999998
142,100000,0.049999999999999996,4.1499999999999995,0.8749999999999998
143,100000,0.049999999999999996,4.1499999999999995,0.8999999999999998
144,100000,0.049999999999999996,4.1499999999999995,0.9249999999999998
145,100000,0.049999999999999996,4.1499999999999995,0.9499999999999998
146,100000,0.049999999999999996,4.1499999999999995,0.9749999999999998
147,100000,0.049999999999999996,4.1499999999999995,0.9999999999999998
148,100000,0.049999999999999996,4.199999999999999,0.1
149,100000,0.049999999999999996,4.199999999999999,0.125
150,100000,0.049999999999999996,4.199999999999999,0.15
151,100000,0.049999999999999996,4.199999999999999,0.175
152,100000,0.049999999999999996,4.199999999999999,0.19999999999999998
153,100000,0.049999999999999996,4.199999999999999,0.22499999999999998
154,100000,0.049999999999999996,4.199999999999999,0.24999999999999997
155,100000,0.049999999999999996,4.199999999999999,0.27499999999999997
156,100000,0.049999999999999996,4.199999999999999,0.29999999999999993
157,100000,0.049999999999999996,4.199999999999999,0.32499999999999996
158,100000,0.049999999999999996,4.199999999999999,0.35
159,100000,0.049999999999999996,4.199999999999999,0.3749999999999999
160,100000,0.049999999999999996,4.199999999999999,0.3999999999999999
161,100000,0.049999999999999996,4.199999999999999,0.42499999999999993
162,100000,0.049999999999999996,4.199999999999999,0.44999999999999996
163,100000,0.049999999999999996,4.199999999999999,0.47499999999999987
164,100000,0.049999999999999996,4.199999999999999,0.4999999999999999
165,100000,0.049999999999999996,4.199999999999999,0.5249999999999999
166,100000,0.049999999999999996,4.199999999999999,0.5499999999999999
167,100000,0.049999999999999996,4.199999999999999,0.5749999999999998
168,100000,0.049999999999999996,4.199999999999999,0.5999999999999999
169,100000,0.049999999999999996,4.199999999999999,0.6249999999999999
170,100000,0.049999999999999996,4.199999999999999,0.6499999999999998
